Geneid,Chr,Start,End,Strand,Length,ML-sta1_CTTGTA_L005/bowtie1_mapping_ref/ML-sta1_CTTGTA_L005.sorted.bam,ML-exp1_GCCAAT_L006/bowtie1_mapping_ref/ML-exp1_GCCAAT_L006.sorted.bam
gene39,CU928145.2,42340,43854,-,1515,3,3
gene40,CU928145.2,44328,45098,+,771,0,0
gene41,CU928145.2,45113,46054,+,942,0,3
gene42,CU928145.2,46105,47391,+,1287,0,1
gene43,CU928145.2,47388,47675,+,288,0,0
gene44,CU928145.2,47734,49065,+,1332,0,8
gene45,CU928145.2,49173,49703,+,531,49,7
gene46,CU928145.2,49696,51558,+,1863,12,33
gene47,CU928145.2,51750,52229,+,480,59,158
gene48,CU928145.2,52307,53149,-,843,32,33
gene49,CU928145.2,53156,53533,-,378,67,66
gene50,CU928145.2,53536,54357,-,822,162,80
gene51,CU928145.2,54354,55343,-,990,15,93
gene52,CU928145.2,55343,56629,-,1287,181,423
gene53,CU928145.2,56682,59036,-,2355,980,455
gene54,CU928145.2,59291,60106,+,816,9,83
gene55,CU928145.2,60223,60882,-,660,7,36
gene56,CU928145.2,60894,63800,-,2907,26,75
gene57,CU928145.2,63965,66316,-,2352,37,58
gene58,CU928145.2,66391,67086,-,696,0,3
gene59,CU928145.2,67255,68757,-,1503,11,12
gene60,CU928145.2,68768,70468,-,1701,3,3
gene61,CU928145.2,70807,71685,+,879,38,14
gene62,CU928145.2,71771,72535,+,765,46,20
gene63,CU928145.2,72649,73347,-,699,5,13
gene64,CU928145.2,73331,74941,-,1611,2,12
gene65,CU928145.2,74917,75900,-,984,1,9
gene66,CU928145.2,75931,76030,-,100,1,5
gene67,CU928145.2,76064,77719,-,1656,13,21
gene68,CU928145.2,77787,78013,+,227,4747,175
gene69,CU928145.2,78041,79219,+,1179,10,44
gene70,CU928145.2,79268,79873,-,606,13,16
gene71,CU928145.2,79884,81284,-,1401,11,3
gene72,CU928145.2,81287,82378,-,1092,4,7
gene73,CU928145.2,82378,83949,-,1572,9,0
gene74,CU928145.2,83993,84142,-,150,0,0
gene75,CU928145.2,84042,84128,-,87,0,0
gene76,CU928145.2,84788,85732,+,945,5,25
gene77,CU928145.2,86050,87774,+,1725,6,21
gene78,CU928145.2,87777,88268,+,492,7,10
gene79,CU928145.2,88448,89452,+,1005,41,154
gene80,CU928145.2,90054,90512,+,459,145,150
gene81,CU928145.2,90514,91455,+,942,121,243
gene82,CU928145.2,91452,91817,+,366,37,85
gene83,CU928145.2,91833,93599,+,1767,123,707
gene84,CU928145.2,93586,95073,+,1488,19,175
gene85,CU928145.2,95070,96428,+,1359,9,126
gene86,CU928145.2,96422,97504,+,1083,14,102
gene87,CU928145.2,97507,98823,+,1317,17,231
gene88,CU928145.2,98823,100067,+,1245,18,213
gene89,CU928145.2,100064,101131,+,1068,13,107
gene90,CU928145.2,101185,102660,+,1476,11,131
gene91,CU928145.2,102653,103573,+,921,27,143
gene92,CU928145.2,103575,104405,+,831,29,116
gene93,CU928145.2,104402,105664,+,1263,212,266
gene94,CU928145.2,105725,106876,+,1152,60,287
gene95,CU928145.2,106977,107894,+,918,3186,1339
gene96,CU928145.2,108125,108637,+,513,22,278
gene97,CU928145.2,108699,111404,+,2706,138,1481
gene98,CU928145.2,111464,111853,+,390,10,19
gene99,CU928145.2,112160,112903,-,744,11,55
gene100,CU928145.2,112903,113523,-,621,84,125
gene101,CU928145.2,113748,114791,+,1044,11,187
gene102,CU928145.2,114826,116028,-,1203,3,14
gene103,CU928145.2,116018,117403,-,1386,9,11
gene104,CU928145.2,117413,117853,-,441,1,2
gene105,CU928145.2,118056,118949,-,894,13,101
gene106,CU928145.2,119037,119588,+,552,11,53
gene107,CU928145.2,119585,120439,+,855,14,51
gene108,CU928145.2,120482,121855,-,1374,33,71
gene109,CU928145.2,122396,123160,+,765,18,55
gene110,CU928145.2,123001,123161,-,161,0,0
gene111,CU928145.2,123321,125984,+,2664,144,308
gene112,CU928145.2,125999,127891,+,1893,63,222
gene113,CU928145.2,128216,129640,+,1425,106,638
gene114,CU928145.2,129711,131468,-,1758,37,28
gene115,CU928145.2,131823,134420,+,2598,266,755
gene116,CU928145.2,134596,134958,+,363,116,36
gene117,CU928145.2,134996,135790,-,795,5,45
gene118,CU928145.2,135806,136672,-,867,28,54
gene119,CU928145.2,136778,137296,-,519,33,152
gene120,CU928145.2,137291,138841,+,1551,15,17
gene121,CU928145.2,138888,141278,-,2391,128,34
gene122,CU928145.2,141484,142020,+,537,19,132
gene123,CU928145.2,142061,142723,-,663,103,915
gene124,CU928145.2,142832,143758,+,927,14,55
gene125,CU928145.2,143755,144525,+,771,14,62
gene126,CU928145.2,144630,145070,+,441,14,16
gene127,CU928145.2,145134,146363,+,1230,20,66
gene128,CU928145.2,146367,146747,-,381,57,438
gene129,CU928145.2,147021,147923,+,903,1,16
gene130,CU928145.2,147997,148848,-,852,20,75
gene131,CU928145.2,148860,149654,-,795,15,58
gene132,CU928145.2,149767,151041,-,1275,38,107
gene133,CU928145.2,151094,151690,-,597,3,9
gene134,CU928145.2,151717,152319,-,603,1,14
gene135,CU928145.2,152334,152903,-,570,5,33
gene136,CU928145.2,152920,155520,-,2601,23,68
gene137,CU928145.2,155555,156295,-,741,0,9
gene138,CU928145.2,156400,156984,-,585,1,26
gene139,CU928145.2,157354,157833,-,480,0,12
gene140,CU928145.2,157830,159248,-,1419,53,119
gene141,CU928145.2,159287,160213,-,927,15,24
gene142,CU928145.2,160250,160705,-,456,643,4481
gene143,CU928145.2,160883,161587,-,705,834,177
gene144,CU928145.2,161602,162132,-,531,6,43
gene145,CU928145.2,162206,164635,+,2430,33,61
gene146,CU928145.2,164831,167365,+,2535,96,243
gene147,CU928145.2,167585,169828,+,2244,241,215
gene148,CU928145.2,169879,170676,+,798,13,16
gene149,CU928145.2,170676,171566,+,891,5,19
gene150,CU928145.2,171563,173545,+,1983,3,22
gene151,CU928145.2,173580,174860,-,1281,27,197
gene152,CU928145.2,175085,176506,+,1422,931,125
gene153,CU928145.2,176588,176932,+,345,301,565
gene154,CU928145.2,176979,177602,-,624,8,41
gene155,CU928145.2,177640,178440,-,801,5,20
gene156,CU928145.2,178433,179131,-,699,123,218
gene157,CU928145.2,179215,180732,+,1518,22,119
gene158,CU928145.2,180862,182286,+,1425,54,289
gene159,CU928145.2,182441,183598,+,1158,10,57
gene160,CU928145.2,183687,184073,-,387,129,928
gene161,CU928145.2,184388,185212,-,825,27,462
gene162,CU928145.2,185243,187915,-,2673,14,48
gene163,CU928145.2,187977,188771,-,795,470,940
gene164,CU928145.2,188771,188992,-,222,0,6
gene165,CU928145.2,188977,189112,+,136,26,320
gene166,CU928145.2,189139,189864,+,726,120,2916
gene167,CU928145.2,190122,190973,+,852,74,3363
gene168,CU928145.2,191120,191845,+,726,27,57
gene169,CU928145.2,192137,192694,+,558,648,505
gene170,CU928145.2,192786,193982,+,1197,91,87
gene171,CU928145.2,194168,194929,+,762,86,180
gene172,CU928145.2,194942,195799,+,858,54,115
gene173,CU928145.2,195811,197163,+,1353,143,360
gene174,CU928145.2,197193,199625,+,2433,211,769
gene175,CU928145.2,199747,200232,+,486,119,755
gene176,CU928145.2,200236,201261,+,1026,155,524
gene177,CU928145.2,201366,201821,+,456,64,237
gene178,CU928145.2,201825,202613,+,789,56,271
gene179,CU928145.2,202613,203761,+,1149,18,156
gene180,CU928145.2,203758,204354,+,597,1,36
gene181,CU928145.2,204391,207873,+,3483,192,319
gene182,CU928145.2,207886,208845,+,960,59,273
gene183,CU928145.2,208944,211085,+,2142,70,15
gene184,CU928145.2,211142,211531,+,390,19,17
gene185,CU928145.2,211596,212894,+,1299,17,56
gene186,CU928145.2,212943,213197,-,255,129,172
gene187,CU928145.2,213190,213390,-,201,86,203
gene188,CU928145.2,213556,214101,+,546,12,31
gene189,CU928145.2,214098,214520,+,423,16,8
gene190,CU928145.2,214534,215244,+,711,72,36
gene191,CU928145.2,215494,216474,+,981,183,544
gene192,CU928145.2,216678,216989,-,312,8,18
gene193,CU928145.2,216920,217510,-,591,0,16
gene194,CU928145.2,217554,219272,-,1719,88,313
gene195,CU928145.2,219384,220091,-,708,52,29
gene196,CU928145.2,220088,220492,-,405,8,59
gene197,CU928145.2,220610,221425,-,816,34,352
gene198,CU928145.2,221465,222118,-,654,13,35
gene199,CU928145.2,222111,223142,-,1032,7,27
gene200,CU928145.2,223330,223902,+,573,43,115
gene201,CU928145.2,224266,225807,+,1542,292,114
gene202,CU928145.2,225876,225952,+,77,5,705
gene203,CU928145.2,225995,226070,+,76,7,649
gene204,CU928145.2,226254,229157,+,2904,364,202
gene205,CU928145.2,229251,229370,+,120,44,17
gene206,CU928145.2,229475,229750,+,276,2,25
gene207,CU928145.2,229562,229638,+,77,0,0
gene208,CU928145.2,229800,230603,+,804,461,519
gene209,CU928145.2,230653,230722,-,70,28,57
gene210,CU928145.2,230714,231922,+,1209,179,1379
gene211,CU928145.2,231938,232852,-,915,24,72
gene212,CU928145.2,233093,233893,+,801,323,300
gene213,CU928145.2,233971,234741,+,771,120,61
gene214,CU928145.2,234789,236147,-,1359,82,540
gene215,CU928145.2,236219,236974,-,756,13,160
gene216,CU928145.2,237008,237730,+,723,37,157
gene217,CU928145.2,237727,238194,-,468,15,52
gene218,CU928145.2,238259,238990,+,732,134,101
gene219,CU928145.2,239123,239199,+,77,18,45
gene220,CU928145.2,239526,240311,+,786,1,98
gene221,CU928145.2,240653,240777,+,125,0,4
gene222,CU928145.2,240937,241866,-,930,5,71
gene223,CU928145.2,241895,242377,-,483,3,26
gene224,CU928145.2,242401,243843,-,1443,2,10
gene225,CU928145.2,243764,247288,-,3525,5,22
gene226,CU928145.2,247307,248788,-,1482,1,4
gene227,CU928145.2,248727,249470,-,744,0,0
gene228,CU928145.2,249467,252340,-,2874,5,3
gene229,CU928145.2,252235,252996,-,762,0,1
gene230,CU928145.2,253001,254332,-,1332,5,7
gene231,CU928145.2,254335,254859,-,525,0,0
gene232,CU928145.2,254856,256157,-,1302,4,2
gene233,CU928145.2,256161,257249,-,1089,1,3
gene234,CU928145.2,257207,259057,-,1851,7,13
gene235,CU928145.2,259061,259474,-,414,4,9
gene236,CU928145.2,259481,260956,-,1476,2,9
gene237,CU928145.2,261007,261231,-,225,2,0
gene238,CU928145.2,261266,261766,-,501,3,4
gene239,CU928145.2,262193,262336,+,144,0,0
gene240,CU928145.2,262463,262981,+,519,1,6
gene241,CU928145.2,263191,265332,+,2142,2,3
gene242,CU928145.2,265408,267912,+,2505,10,4
gene243,CU928145.2,267746,269071,+,1326,70,29
gene244,CU928145.2,269055,269537,+,483,27,81
gene245,CU928145.2,269718,270464,+,747,5,101
gene246,CU928145.2,270508,270708,+,201,0,7
gene247,CU928145.2,271022,272083,+,1062,26,55
gene248,CU928145.2,272125,272895,-,771,43,69
gene249,CU928145.2,273049,273522,+,474,10,125
gene250,CU928145.2,273565,276009,-,2445,285,23
gene251,CU928145.2,276249,276827,+,579,44,143
gene252,CU928145.2,277033,277800,+,768,10,41
gene253,CU928145.2,277771,278511,-,741,16,88
gene254,CU928145.2,278667,278945,-,279,35,85
gene255,CU928145.2,278948,279208,-,261,127,87
gene256,CU928145.2,279418,280167,+,750,11,24
gene257,CU928145.2,280224,280580,-,357,59,440
gene258,CU928145.2,280573,280872,-,300,167,108
gene259,CU928145.2,280956,282695,-,1740,3,1
gene260,CU928145.2,282535,283425,+,891,1,1
gene261,CU928145.2,283496,284551,+,1056,12,19
gene262,CU928145.2,284548,284934,+,387,10,6
gene263,CU928145.2,284903,286111,-,1209,167,1324
gene264,CU928145.2,286103,286171,+,69,1,7
gene265,CU928145.2,286557,287723,+,1167,3,21
gene266,CU928145.2,287834,288334,+,501,0,16
gene267,CU928145.2,288391,289848,-,1458,86,559
gene268,CU928145.2,290109,290567,+,459,14,67
gene269,CU928145.2,290659,291903,+,1245,30,73
gene270,CU928145.2,291961,292362,+,402,253,1076
gene271,CU928145.2,292401,293456,-,1056,6,42
gene272,CU928145.2,293744,294847,+,1104,25,121
gene273,CU928145.2,294859,296112,+,1254,69,138
gene274,CU928145.2,296227,296302,+,76,55,82
gene275,CU928145.2,296469,297683,+,1215,6,51
gene276,CU928145.2,297806,298609,+,804,13,376
gene277,CU928145.2,298804,299001,+,198,0,3
gene278,CU928145.2,299080,299880,+,801,4,8
gene279,CU928145.2,299873,301459,+,1587,52,541
gene280,CU928145.2,300598,300903,-,306,0,0
gene281,CU928145.2,301452,301817,+,366,1,2
gene282,CU928145.2,301810,302010,+,201,0,0
gene283,CU928145.2,302015,302305,+,291,0,0
gene284,CU928145.2,302302,304434,+,2133,5,8
gene285,CU928145.2,304893,305450,+,558,11,2
gene286,CU928145.2,305447,305734,+,288,5,12
gene287,CU928145.2,305869,307011,+,1143,421,2359
gene288,CU928145.2,307076,307399,+,324,2,33
gene289,CU928145.2,307842,308114,+,273,5,768
gene290,CU928145.2,308196,308741,+,546,7,43
gene291,CU928145.2,309345,310340,+,996,1797,5466
gene292,CU928145.2,310333,311313,+,981,347,4092
gene293,CU928145.2,311773,312183,-,411,0,25
gene294,CU928145.2,312162,313118,-,957,1,1
gene295,CU928145.2,313128,315326,-,2199,27,3
gene296,CU928145.2,315323,316279,-,957,18,1
gene297,CU928145.2,316276,316965,-,690,14,2
gene298,CU928145.2,317383,317997,+,615,6,248
gene299,CU928145.2,318887,319597,-,711,10,11
gene300,CU928145.2,319566,321209,-,1644,14,18
gene301,CU928145.2,321199,323724,-,2526,8,8
gene302,CU928145.2,323750,324418,-,669,9,11
gene303,CU928145.2,324476,325063,-,588,4,27
gene304,CU928145.2,325138,325728,-,591,1,12
gene305,CU928145.2,326503,326730,+,228,43,235
gene306,CU928145.2,326905,327168,-,264,4,228
gene307,CU928145.2,328749,333002,+,4254,8,49
gene308,CU928145.2,333123,334013,-,891,10,78
gene309,CU928145.2,334570,335163,-,594,0,7
gene310,CU928145.2,335175,335411,-,237,0,2
gene311,CU928145.2,335520,336845,-,1326,6,7
gene312,CU928145.2,337071,337925,+,855,2,16
gene313,CU928145.2,338452,339171,+,720,1,45
gene314,CU928145.2,339182,340609,+,1428,0,32
gene315,CU928145.2,340602,341297,+,696,2,19
gene316,CU928145.2,341371,341568,-,198,31,23
gene317,CU928145.2,341543,342208,-,666,1,35
gene318,CU928145.2,342421,344091,-,1671,10,48
gene319,CU928145.2,344105,345577,-,1473,32,27
gene320,CU928145.2,345591,346178,-,588,47,5
gene321,CU928145.2,346307,348340,+,2034,55,15
gene322,CU928145.2,348847,352896,+,4050,18,63
gene323,CU928145.2,353038,354126,+,1089,2,144
gene324,CU928145.2,354168,355100,-,933,11,48
gene325,CU928145.2,355192,355689,-,498,0,1
gene326,CU928145.2,355947,356552,+,606,4,3
gene327,CU928145.2,356592,357455,+,864,0,1
gene328,CU928145.2,357445,358992,+,1548,0,2
gene329,CU928145.2,358992,360410,+,1419,1,3
gene330,CU928145.2,360553,361503,+,951,0,1
gene331,CU928145.2,361513,362895,+,1383,5,6
gene332,CU928145.2,363164,363604,+,441,0,10
gene333,CU928145.2,363855,364841,+,987,18,48
gene334,CU928145.2,364875,366374,+,1500,2,14
gene335,CU928145.2,366367,367338,+,972,2,9
gene336,CU928145.2,367305,368291,+,987,27,10
gene337,CU928145.2,368378,369427,+,1050,144,4
gene338,CU928145.2,369670,370485,+,816,8,5
gene339,CU928145.2,370827,370907,+,81,21,24
gene340,CU928145.2,370897,371142,+,246,4,20
gene341,CU928145.2,371159,371830,-,672,3,5
gene342,CU928145.2,371977,372252,+,276,562,52
gene343,CU928145.2,372353,373939,-,1587,74,7
gene344,CU928145.2,374177,375067,+,891,26,1
gene345,CU928145.2,375112,376281,+,1170,14,1
gene346,CU928145.2,376315,377766,+,1452,5,5
gene347,CU928145.2,377806,379692,+,1887,13,22
gene348,CU928145.2,380155,381135,+,981,183,544
gene349,CU928145.2,381397,382656,+,1260,4,2
gene350,CU928145.2,382646,383929,+,1284,2,18
gene351,CU928145.2,383969,384868,-,900,4,7
gene352,CU928145.2,384978,385637,+,660,2,3
gene353,CU928145.2,385668,386138,+,471,1,0
gene354,CU928145.2,386171,387325,+,1155,6,3
gene355,CU928145.2,387428,388039,-,612,0,6
gene356,CU928145.2,388105,389358,-,1254,13,8
gene357,CU928145.2,389410,392484,-,3075,5,18
gene358,CU928145.2,392607,393689,-,1083,9,17
gene359,CU928145.2,393766,394713,-,948,42,6
gene360,CU928145.2,394790,396454,+,1665,0,2
gene361,CU928145.2,396456,397400,+,945,1,0
gene362,CU928145.2,397403,398284,+,882,0,3
gene363,CU928145.2,398294,399103,+,810,0,1
gene364,CU928145.2,399100,400050,+,951,7,4
gene365,CU928145.2,400047,401060,+,1014,3,0
gene366,CU928145.2,401236,402447,+,1212,3,11
gene367,CU928145.2,402549,403088,+,540,20,161
gene368,CU928145.2,403338,404318,+,981,182,547
gene369,CU928145.2,404593,405426,-,834,15,28
gene370,CU928145.2,405519,406628,-,1110,17,39
gene371,CU928145.2,406663,406938,-,276,1,15
gene372,CU928145.2,407124,407897,-,774,8,9
gene373,CU928145.2,407899,408609,-,711,1,4
gene374,CU928145.2,408458,409654,-,1197,3,3
gene375,CU928145.2,409664,410335,-,672,0,4
gene376,CU928145.2,410951,411913,+,963,0,2
gene377,CU928145.2,411926,412693,+,768,0,7
gene378,CU928145.2,412690,413517,+,828,1,1
gene379,CU928145.2,413514,414365,+,852,0,2
gene380,CU928145.2,414471,415445,-,975,16,89
gene381,CU928145.2,415969,418857,+,2889,58,349
gene382,CU928145.2,418900,419568,+,669,4,30
gene383,CU928145.2,419569,420726,-,1158,20,71
gene384,CU928145.2,420864,421058,+,195,20,79
gene385,CU928145.2,421078,422298,+,1221,8,85
gene386,CU928145.2,422311,423405,+,1095,24,97
gene387,CU928145.2,423464,423772,-,309,115,10
gene388,CU928145.2,423900,424244,+,345,30,48
gene389,CU928145.2,424268,425362,-,1095,32,178
gene390,CU928145.2,425440,425643,+,204,18,2
gene391,CU928145.2,425825,426085,+,261,35,130
gene392,CU928145.2,426117,426488,+,372,4,77
gene393,CU928145.2,426499,427002,-,504,23,182
gene394,CU928145.2,426921,427196,-,276,179,1372
gene395,CU928145.2,427431,428378,+,948,0,10
gene396,CU928145.2,428497,428817,+,321,432,17
gene397,CU928145.2,428919,430034,+,1116,34,6
gene398,CU928145.2,430051,430860,-,810,634,53
gene399,CU928145.2,430980,431438,+,459,15,72
gene400,CU928145.2,431621,432145,+,525,13,114
gene401,CU928145.2,432195,432386,+,192,4222,129
gene402,CU928145.2,432644,433321,+,678,85,78
gene403,CU928145.2,433393,433677,+,285,49,2219
gene404,CU928145.2,433938,434300,+,363,2,12
gene405,CU928145.2,434378,435289,-,912,26,109
gene406,CU928145.2,435414,436322,+,909,29,16
gene407,CU928145.2,436465,437649,-,1185,25,39
gene408,CU928145.2,437775,440918,-,3144,18,55
gene409,CU928145.2,440915,442117,-,1203,4,33
gene410,CU928145.2,442307,442996,+,690,9,19
gene411,CU928145.2,443054,444349,+,1296,15,40
gene412,CU928145.2,444360,444470,-,111,1,18
gene413,CU928145.2,444756,446075,+,1320,254,178
gene414,CU928145.2,446151,447524,+,1374,33,62
gene415,CU928145.2,447680,449497,+,1818,15,14
gene416,CU928145.2,449502,450083,-,582,25,8
gene417,CU928145.2,450176,451246,+,1071,10,43
gene418,CU928145.2,451302,452429,+,1128,17,298
gene419,CU928145.2,452452,452784,+,333,52,1206
gene420,CU928145.2,452812,454659,+,1848,53,858
gene421,CU928145.2,454670,455641,+,972,48,551
gene422,CU928145.2,455770,456117,+,348,47,487
gene423,CU928145.2,456294,457178,-,885,24,2120
gene424,CU928145.2,457477,457899,-,423,71,23
gene425,CU928145.2,457903,458076,-,174,7,8
gene426,CU928145.2,458167,458616,+,450,23,43
gene427,CU928145.2,458620,459723,+,1104,29,104
gene428,CU928145.2,459812,460282,+,471,19,68
gene429,CU928145.2,460302,460721,+,420,13,117
gene430,CU928145.2,460799,461776,+,978,4,28
gene431,CU928145.2,461754,462272,+,519,41,10
gene432,CU928145.2,462326,463300,-,975,237,26
gene433,CU928145.2,463355,465217,-,1863,17,163
gene434,CU928145.2,465242,466141,-,900,28,58
gene435,CU928145.2,466141,466383,-,243,13,20
gene436,CU928145.2,466589,468037,+,1449,15,66
gene437,CU928145.2,468091,468681,-,591,8,13
gene438,CU928145.2,468644,469555,-,912,65,51
gene439,CU928145.2,469723,470214,+,492,93,2873
gene440,CU928145.2,470342,471706,-,1365,7,117
gene441,CU928145.2,472054,473049,+,996,23,16
gene442,CU928145.2,473105,473647,-,543,9,26
gene443,CU928145.2,473631,474008,-,378,13,22
gene444,CU928145.2,474127,475017,-,891,89,516
gene445,CU928145.2,475029,475358,-,330,17,132
gene446,CU928145.2,475358,475972,-,615,32,222
gene447,CU928145.2,475962,477953,-,1992,123,439
gene448,CU928145.2,477975,478922,-,948,246,370
gene449,CU928145.2,479382,480857,-,1476,4,162
gene450,CU928145.2,480901,481479,-,579,9,179
gene451,CU928145.2,481784,482101,+,318,5111,1214
gene452,CU928145.2,482445,483743,+,1299,120,1758
gene453,CU928145.2,483989,484612,+,624,341,627
gene454,CU928145.2,484738,486012,+,1275,765,1296
gene455,CU928145.2,486037,486192,-,156,7,5
gene456,CU928145.2,486200,488554,+,2355,192,1430
gene457,CU928145.2,488763,489035,+,273,42,860
gene458,CU928145.2,489227,491098,+,1872,115,879
gene459,CU928145.2,491249,491620,+,372,4,48
gene460,CU928145.2,491714,492112,+,399,13,19
gene461,CU928145.2,492164,492859,-,696,16,54
gene462,CU928145.2,492924,494624,-,1701,19,25
gene463,CU928145.2,494724,495542,+,819,27,38
gene464,CU928145.2,495467,496153,+,687,17,40
gene465,CU928145.2,496183,497955,+,1773,10,87
gene466,CU928145.2,497948,499729,+,1782,4,92
gene467,CU928145.2,499910,500248,+,339,0,0
gene468,CU928145.2,500278,501564,+,1287,12,18
gene469,CU928145.2,501613,502473,-,861,97,41
gene470,CU928145.2,502691,503263,+,573,1234,62
gene471,CU928145.2,503294,503683,-,390,16,7
gene472,CU928145.2,503737,503874,+,138,1381,200
gene473,CU928145.2,503984,504337,+,354,162,23
gene474,CU928145.2,504379,505929,-,1551,132,111
gene475,CU928145.2,506093,506563,-,471,33,76
gene476,CU928145.2,506679,507230,-,552,7,462
gene477,CU928145.2,507401,507865,-,465,51,1554
gene478,CU928145.2,507645,508019,-,375,147,573
gene479,CU928145.2,508565,511714,-,3150,83,664
gene480,CU928145.2,511737,512930,-,1194,37,382
gene481,CU928145.2,513072,513719,+,648,54,421
gene482,CU928145.2,513847,517209,+,3363,53,340
gene483,CU928145.2,517421,517582,-,162,0,10
gene484,CU928145.2,517596,518123,-,528,4,24
gene485,CU928145.2,518193,518570,+,378,22,16
gene486,CU928145.2,518723,519274,+,552,3,48
gene487,CU928145.2,519403,521334,+,1932,34,159
gene488,CU928145.2,521387,521716,+,330,51,90
gene489,CU928145.2,521716,522321,+,606,15,77
gene490,CU928145.2,522431,524305,+,1875,164,1168
gene491,CU928145.2,524486,525130,+,645,5,149
gene492,CU928145.2,525366,526328,+,963,53,26
gene493,CU928145.2,526325,527284,-,960,17,26
gene494,CU928145.2,527436,528740,+,1305,22,103
gene495,CU928145.2,528873,530549,-,1677,64,223
gene496,CU928145.2,530787,532007,-,1221,16,52
gene497,CU928145.2,532225,533877,+,1653,36,78
gene498,CU928145.2,533716,533829,-,114,0,0
gene499,CU928145.2,533914,534393,-,480,9,38
gene500,CU928145.2,534516,534598,+,83,15,3
gene501,CU928145.2,534597,535391,-,795,4,52
gene502,CU928145.2,535529,535870,+,342,63,419
gene503,CU928145.2,535984,538488,-,2505,119,47
gene504,CU928145.2,538750,539682,+,933,211,1
gene505,CU928145.2,539685,540977,+,1293,136,8
gene506,CU928145.2,541102,541509,+,408,34,25
gene507,CU928145.2,541510,541965,-,456,36,12
gene508,CU928145.2,541965,542882,-,918,146,46
gene509,CU928145.2,543028,543705,+,678,17,94
gene510,CU928145.2,543692,544471,+,780,14,82
gene511,CU928145.2,544534,545388,-,855,60,158
gene512,CU928145.2,545449,546258,-,810,14,48
gene513,CU928145.2,546248,546874,-,627,32,49
gene514,CU928145.2,546842,547528,+,687,6,7
gene515,CU928145.2,547525,549939,+,2415,15,29
gene516,CU928145.2,550369,554637,+,4269,169,300
gene517,CU928145.2,554671,554946,+,276,77,1181
gene518,CU928145.2,554865,555368,+,504,25,190
gene519,CU928145.2,555475,555843,+,369,0,1
gene520,CU928145.2,555843,556553,+,711,2,2
gene521,CU928145.2,556534,557025,+,492,2,6
gene522,CU928145.2,557310,557525,-,216,0,1
gene523,CU928145.2,557512,557946,-,435,1,12
gene524,CU928145.2,558026,559120,-,1095,5,30
gene525,CU928145.2,559189,560115,-,927,5,11
gene526,CU928145.2,560345,560827,+,483,4,10
gene527,CU928145.2,560905,561720,+,816,5941,154
gene528,CU928145.2,561810,563591,+,1782,3,0
gene529,CU928145.2,563604,564380,+,777,0,0
gene530,CU928145.2,564480,565358,+,879,0,0
gene531,CU928145.2,565527,566981,+,1455,0,1
gene532,CU928145.2,567041,568402,+,1362,28,9
gene533,CU928145.2,568459,569760,+,1302,9,5
gene534,CU928145.2,569782,570927,+,1146,6,6
gene535,CU928145.2,571056,571841,-,786,32,43
gene536,CU928145.2,571852,573087,-,1236,4,14
gene537,CU928145.2,573109,574158,-,1050,0,3
gene538,CU928145.2,574475,576142,+,1668,2,0
gene539,CU928145.2,576152,577411,+,1260,0,1
